"Categoría";"Subcategoría";"Fecha";"Detalle";Importe
"Vivienda";"Decoración";"2025-10-23";"Difusor Ultrasonico Aromatico Gadnic";20880,00
"Vivienda";"Muebles";"2025-10-23";"10 Cortes Placa Fibrofacil 40x50 3mm";23950,00
"Vivienda";"Muebles";"2025-10-23";"Tela para repaldo";35000,00
"Vivienda";"Muebles";"2025-10-23";"Goma espuma para 10 cortes fibrofacil";30000,00
"Salud";"Cuidado Personal";"2025-10-24";"Bisciglinato de magnesio x3";55104,00
"Salud";"Cuidado Personal";"2025-10-24";"Creatina x4 Gold creature (33k.c/u) -4k Cuenta Dni";66000,00
"Transporte";"Combustible";"2025-10-29";"AXION - 1490 xL";53001,98
"Supermercado";"G - Otros";"2025-10-29";"YPF Cadbury y 2 rastas";10000,00
"Ocio";"O - Otros";"2025-10-31";"Chango mas";41085,00
"Vivienda";"Muebles";"2025-10-30";"Seña maderas";21014,00
"Gastos_Fijos";"Celular";"2025-11-04";"Celular Movistar";10500,00
"Supermercado";"Almacén";"2025-11-06";"Pulgas Olivia";10000,00
"Vivienda";"Muebles";"2025-11-08";"Seña maderas";30000,00
"Salud";"Farmacia";"2025-11-08";"Curaplus";8500,00
"Seguros";"Vehículo";"2025-11-09";"Seguro";73300,00
"Seguros";"Vehículo";"2025-11-09";"Patente";32300,00
"Transporte";"Combustible";"2025-11-11";"AXION - 1550 xL";63000,00
"Supermercado";"Verdulería";"2025-11-11";"Frutillas y tomates";11000,00
"Ocio";"O - Otros";"2025-11-14";"Chango mas";37000,00
"Vivienda";"Muebles";"2025-11-16";"Ferreteria";15200,00
"Ocio";"Restaurantes";"2025-11-23";"burguer y bebida";18000,00
"Ocio";"Restaurantes";"2025-11-23";"1/4 Helado";8800,00
"Ocio";"Restaurantes";"2025-11-24";"Campito enzo simon";18700,00
"Ocio";"Restaurantes";"2025-11-24";"Campito enzo Milo";2700,00
"Transporte";"Combustible";"2025-11-25";"AXION - 1590 xL";69000,00
"Supermercado";"Almacén";"2025-11-26";"Chino peligroso";8200,00
"Transporte";"Auto mantenimiento";"2025-11-30";"Mecanico pato";150000,00
"Ocio";"O - Otros";"2025-11-30";"Reagalo sol";20000,00
